Parent,Child,value,link_string,feat_mean,feat_std,feat_min,feat_max,feat_median
hemoglobin,gender,920.0,"hemoglobin', 'gender",9.266492156105667,2.5068545491056824,6.113805605027148,12.95839236795636,7.99698468574319
gender,rbc,920.0,"gender', 'rbc",36.3,63.7,,,
rbc,ret_count,1695.0,"rbc', 'ret_count",3.170706166311451,0.6883191256430105,1.865405382341892,4.830654522862175,3.176755912798477
ret_count,Aplastic anemia,1681.0,"ret_count', 'Aplastic anemia",1.0092075552390711,0.5744112581333417,0.0014143419228636,1.9989912857183896,1.0213546885868492
hemoglobin,rbc,782.0,"hemoglobin', 'rbc",9.715895789203396,1.109937577293094,6.004698281356887,11.304903401372457,9.775635133534415
rbc,segmented_neutrophils,3.0,"rbc', 'segmented_neutrophils",2.0481346520078447,0.08781588434109619,1.9467748327316488,2.1013185224746067,2.096310600817278
segmented_neutrophils,ret_count,3.0,"segmented_neutrophils', 'ret_count",4.326441702363421,1.2891809943500876,3.1216649256049247,5.6860436173195765,4.171616564165761
ret_count,creatinine,4.0,"ret_count', 'creatinine",1.030408032575657,0.2430953491020377,0.7723416950285942,1.283927379301541,1.0326815279862465
creatinine,Aplastic anemia,4.0,"creatinine', 'Aplastic anemia",1.457758874930696,0.7733206322712276,0.3006712324466694,1.9115012444132469,1.809431511431434
ret_count,gender,13.0,"ret_count', 'gender",0.5594059267416961,0.5556884984812454,0.1004033314200974,1.9991953919373973,0.2850034856506798
gender,Aplastic anemia,13.0,"gender', 'Aplastic anemia",61.5,38.5,,,
ret_count,segmented_neutrophils,4.0,"ret_count', 'segmented_neutrophils",0.46288749908799365,0.6860157759984579,0.0026410202074271,1.4773242168077445,0.1857923796684014
segmented_neutrophils,Aplastic anemia,4.0,"segmented_neutrophils', 'Aplastic anemia",3.6261889041174316,3.1720650719404375,0.6076177920125044,6.718202281278964,3.5894677715891286
rbc,gender,4.0,"rbc', 'gender",3.919855104571358,0.21240151827511602,3.7250746583334062,4.183136366311935,3.8856046968200455
gender,ret_count,4.0,"gender', 'ret_count",50.0,50.0,,,
hemoglobin,,,,,,,,
,Aplastic anemia,,,,,,,
