Parent,Child,value,link_string,feat_mean,feat_std,feat_min,feat_max,feat_median
hemoglobin,gender,733.0,"hemoglobin', 'gender",9.2251266224634,2.4736509044070205,6.110336663632412,12.957460012890945,7.955826462812857
gender,rbc,733.0,"gender', 'rbc",36.7,63.3,,,
rbc,mcv,101.0,"rbc', 'mcv",3.02687397861852,0.9598379346530048,1.7902366386994326,4.459937228590759,3.2435072137174528
mcv,segmented_neutrophils,66.0,"mcv', 'segmented_neutrophils",102.97421744388967,1.3279953167685636,100.34208943605007,104.99433731052582,103.24881963190518
segmented_neutrophils,Inconclusive diagnosis,425.0,"segmented_neutrophils', 'Inconclusive diagnosis",-1.0,0.0,-1.0,-1.0,-1.0
rbc,ferritin,576.0,"rbc', 'ferritin",3.606169259180149,0.7648900174712316,2.2710405265302898,5.076430334359463,3.5674939560400643
ferritin,Inconclusive diagnosis,430.0,"ferritin', 'Inconclusive diagnosis",-0.9949609364852092,0.07380154253461567,-1.0,0.0875077885954866,-1.0
hemoglobin,rbc,668.0,"hemoglobin', 'rbc",9.710147648262383,1.0946464019755666,6.001395511313349,11.30778694293005,9.843715065229372
rbc,segmented_neutrophils,362.0,"rbc', 'segmented_neutrophils",2.856277252342249,0.5421777757727109,1.742866463020763,3.8939505261945904,2.8676003908831387
ferritin,tibc,174.0,"ferritin', 'tibc",71.47537058091362,20.99656913292079,32.937658649944865,109.45582465358692,71.96033672720851
tibc,Inconclusive diagnosis,178.0,"tibc', 'Inconclusive diagnosis",-1.0,0.0,-1.0,-1.0,-1.0
rbc,ret_count,360.0,"rbc', 'ret_count",3.1701574844289886,0.7146756815788169,1.83299771462262,4.808989978361593,3.2042922731205428
ret_count,Inconclusive diagnosis,358.0,"ret_count', 'Inconclusive diagnosis",-1.0,0.0,-1.0,-1.0,-1.0
mcv,ferritin,35.0,"mcv', 'ferritin",75.44861695214883,0.35909067496830566,75.0140098432812,76.31489958860253,75.32248740777696
ret_count,segmented_neutrophils,4.0,"ret_count', 'segmented_neutrophils",2.132854965677085,1.9987596809937644,0.1796153833800744,4.866311247803736,1.7427466157622649
ferritin,hematocrit,6.0,"ferritin', 'hematocrit",36.987638235601445,3.3721678876236454,30.802414392485428,40.036013359631646,37.82514551290697
hematocrit,tibc,6.0,"hematocrit', 'tibc",23.532757180933817,5.394396815116671,18.91822590626264,32.78806248757056,21.18518327791412
segmented_neutrophils,mcv,5.0,"segmented_neutrophils', 'mcv",0.12243233080677932,0.018152329734051367,0.1091857695420343,0.152431745738411,0.1121682550316423
mcv,cholestrol,5.0,"mcv', 'cholestrol",103.46433021446447,0.9806575756828136,102.34980377296633,104.80625737219722,103.68950899363394
cholestrol,Inconclusive diagnosis,5.0,"cholestrol', 'Inconclusive diagnosis",12.115067933857848,18.41602387146814,-1.0,37.55664674199743,-1.0
tibc,creatinine,4.0,"tibc', 'creatinine",503.2204183095282,10.11229967362493,490.91920108628784,512.3488991937113,504.8067864790569
creatinine,Inconclusive diagnosis,4.0,"creatinine', 'Inconclusive diagnosis",-1.0,0.0,-1.0,-1.0,-1.0
ferritin,mcv,2.0,"ferritin', 'mcv",33.36821041708599,1.9930696207522711,31.95889737287516,34.77752346129682,33.36821041708599
mcv,hematocrit,1.0,"mcv', 'hematocrit",76.47938191758212,,76.47938191758212,76.47938191758212,76.47938191758212
hematocrit,gender,1.0,"hematocrit', 'gender",32.87178323013263,,32.87178323013263,32.87178323013263,32.87178323013263
gender,tibc,1.0,"gender', 'tibc",100.0,0.0,,,
segmented_neutrophils,ret_count,2.0,"segmented_neutrophils', 'ret_count",2.906680687726901,0.3424126051921481,2.6645584126317807,3.1488029628220207,2.906680687726901
rbc,gender,2.0,"rbc', 'gender",4.121890308894512,0.057228156224455734,4.0814238915533965,4.162356726235628,4.121890308894512
gender,ferritin,1.0,"gender', 'ferritin",100.0,0.0,,,
mcv,tibc,1.0,"mcv', 'tibc",75.53806002914239,,75.53806002914239,75.53806002914239,75.53806002914239
gender,ret_count,1.0,"gender', 'ret_count",100.0,0.0,,,
ret_count,creatinine,1.0,"ret_count', 'creatinine",3.5421035387101423,,3.5421035387101423,3.5421035387101423,3.5421035387101423
creatinine,ferritin,1.0,"creatinine', 'ferritin",0.5641702613490933,,0.5641702613490933,0.5641702613490933,0.5641702613490933
ferritin,gender,1.0,"ferritin', 'gender",0.0646742256181331,,0.0646742256181331,0.0646742256181331,0.0646742256181331
gender,Inconclusive diagnosis,1.0,"gender', 'Inconclusive diagnosis",0.0,100.0,,,
hemoglobin,,,,,,,,
,Inconclusive diagnosis,,,,,,,
