Parent,Child,value,link_string,feat_mean,feat_std,feat_min,feat_max,feat_median
hemoglobin,rbc,769.0,"hemoglobin', 'rbc",9.637708249138607,1.1427406952952273,6.001556805352688,11.309449931410418,9.718363479232076
rbc,mcv,72.0,"rbc', 'mcv",4.1615238762413105,0.2995791981998684,3.5222386716509595,4.509048027476326,4.298509952170095
mcv,ferritin,72.0,"mcv', 'ferritin",75.36286317708931,0.3299069494022174,75.00346163526879,76.41400224879277,75.265462493907
ferritin,hematocrit,76.0,"ferritin', 'hematocrit",20.360497654989757,13.654138442927234,1.2688006049124678,39.058540371877534,19.62761058995954
hematocrit,tibc,24.0,"hematocrit', 'tibc",23.474326537704332,4.955528385154331,18.00533082191213,33.928349794231245,21.123248354427734
tibc,gender,21.0,"tibc', 'gender",488.75310260340666,21.1690958374999,455.07790906711904,516.5623979300939,491.54600011577736
gender,IDA,210.0,"gender', 'Iron deficiency anemia",46.7,53.3,,,
rbc,ferritin,1608.0,"rbc', 'ferritin",3.629297047384055,0.7904518956744574,2.260827843267708,5.139650980314069,3.586834956199266
ferritin,IDA,510.0,"ferritin', 'Iron deficiency anemia",17.264143509776243,9.11917017278028,0.2508842417939472,34.99782645064941,17.5972725352654
hemoglobin,gender,911.0,"hemoglobin', 'gender",9.249641795304912,2.5109378190942055,6.111362348352992,12.9559769786514,7.950179225601362
gender,rbc,911.0,"gender', 'rbc",37.0,63.0,,,
ferritin,tibc,1054.0,"ferritin', 'tibc",66.46108598716467,18.85389960670944,31.90425320992284,99.96326882516388,66.46984621953291
tibc,mcv,970.0,"tibc', 'mcv",484.04783054437087,21.011075565846763,414.41671035494784,519.9685040346794,484.7655761446044
mcv,hematocrit,321.0,"mcv', 'hematocrit",77.2558435890885,1.349194397820772,75.00547098938276,79.93929385244466,77.1779868249172
hematocrit,IDA,419.0,"hematocrit', 'Iron deficiency anemia",29.250978885200407,4.425805941443788,18.009343588905413,38.75923486559143,29.552080600396145
mcv,IDA,514.0,"mcv', 'Iron deficiency anemia",77.5957516733194,1.4456068712683685,75.00247779159079,79.99858282270618,77.619427243513
mcv,gender,195.0,"mcv', 'gender",77.53758797988615,1.3796955484450273,75.00946912923287,79.99907962499823,77.44490786971721
tibc,IDA,13.0,"tibc', 'Iron deficiency anemia",507.1249864975361,16.600693842423926,458.29896279498377,518.9564050170939,513.6669807030584
ferritin,mcv,22.0,"ferritin', 'mcv",18.25281568573769,9.209046394527723,7.7578913112695265,33.36188063469437,14.842243069575769
gender,hematocrit,50.0,"gender', 'hematocrit",98.0,2.0,,,
ferritin,gender,18.0,"ferritin', 'gender",1.4465238961696694,1.5182534398006078,0.0965145056542438,4.657943586516097,0.8356393649060044
hematocrit,gender,31.0,"hematocrit', 'gender",29.75365958729033,5.1748464100496765,18.16772202953841,33.92261040756657,32.8273723656519
tibc,hematocrit,62.0,"tibc', 'hematocrit",478.0185872695593,21.257554704562242,444.38004892749046,517.737125152911,470.80875396314804
hematocrit,mcv,35.0,"hematocrit', 'mcv",29.729413286272685,6.143616792754236,18.1797503088033,38.815687137205096,29.29489650945041
tibc,creatinine,14.0,"tibc', 'creatinine",500.49246816408674,10.004204855526128,479.36721716212486,511.7267167309954,502.4988509182374
creatinine,IDA,14.0,"creatinine', 'Iron deficiency anemia",1.2718691648424494,0.5389262116116884,0.2675011749689709,1.835750906440184,1.5423573588702741
gender,mcv,4.0,"gender', 'mcv",25.0,75.0,,,
mcv,tibc,1.0,"mcv', 'tibc",75.57915424051463,,75.57915424051463,75.57915424051463,75.57915424051463
gender,tibc,1.0,"gender', 'tibc",100.0,0.0,,,
hemoglobin,,,,,,,,
,IDA,,,,,,,
