Parent,Child,value,link_string,feat_mean,feat_std,feat_min,feat_max,feat_median
hemoglobin,gender,1002.0,"hemoglobin', 'gender",9.30091887827763,2.4976504372470103,6.126625439646761,12.954998043627302,8.008410124473908
gender,rbc,1002.0,"gender', 'rbc",35.1,64.9,,,
rbc,mcv,272.0,"rbc', 'mcv",2.313287074992832,0.4889669739043986,1.7826209159173048,3.515845213465522,2.16971105370562
mcv,segmented_neutrophils,272.0,"mcv', 'segmented_neutrophils",102.82471855854774,1.2906114418883556,100.32392977644982,104.96731478508828,102.87773921476665
segmented_neutrophils,Vitamin B12/Folate deficiency anemia,288.0,"segmented_neutrophils', 'Vitamin B12/Folate deficiency anemia",3.766764251179084,2.0749012488101966,0.182505301969419,6.990898517684221,3.8141070844245473
hemoglobin,rbc,846.0,"hemoglobin', 'rbc",9.681623867428446,1.0664818233319637,6.006371839969916,11.307656704619358,9.678068650080945
rbc,segmented_neutrophils,1576.0,"rbc', 'segmented_neutrophils",2.8569711856220548,0.5582964106463292,1.7403904632797853,3.886733446440629,2.870219471584632
segmented_neutrophils,mcv,1510.0,"segmented_neutrophils', 'mcv",3.448142014691428,1.9523103881389023,0.1212296683560583,6.997441180798497,3.3352474289005167
mcv,Vitamin B12/Folate deficiency anemia,1553.0,"mcv', 'Vitamin B12/Folate deficiency anemia",102.29243169430936,1.5433393235849884,99.36908581483542,104.99811608097215,102.25408050572456
segmented_neutrophils,gender,48.0,"segmented_neutrophils', 'gender",4.803163958807993,1.7156933970153152,1.2044581083567143,6.9828828821456925,5.437395111375544
gender,mcv,48.0,"gender', 'mcv",60.4,39.6,,,
mcv,cholestrol,6.0,"mcv', 'cholestrol",102.25453542506335,1.817513348000092,100.22560762336391,103.99915781557054,102.34487260495575
cholestrol,Vitamin B12/Folate deficiency anemia,7.0,"cholestrol', 'Vitamin B12/Folate deficiency anemia",93.58745485679027,39.41713851877829,16.929954438272127,137.6461987924825,105.62679921581282
segmented_neutrophils,cholestrol,1.0,"segmented_neutrophils', 'cholestrol",0.1436269184653084,,0.1436269184653084,0.1436269184653084,0.1436269184653084
segmented_neutrophils,ret_count,1.0,"segmented_neutrophils', 'ret_count",1.2037366813103356,,1.2037366813103356,1.2037366813103356,1.2037366813103356
ret_count,folate,1.0,"ret_count', 'folate",0.4479646690745966,,0.4479646690745966,0.4479646690745966,0.4479646690745966
folate,mcv,1.0,"folate', 'mcv",3.173091607049052,,3.173091607049052,3.173091607049052,3.173091607049052
hemoglobin,,,,,,,,
,Vitamin B12/Folate deficiency anemia,,,,,,,
