length,width,height,label
25,2,77,A
26,12,24,B
5,4,16,B
10,2,56,B
5,6,87,B
26,1,73,A
4,6,47,B
11,12,34,C
18,7,90,A
27,2,15,A
2,12,92,C
13,10,96,C
12,3,97,B
24,8,44,A
10,5,65,B
10,2,15,B
18,6,16,A
10,13,3,C
7,10,58,C
29,5,45,A
2,10,6,C
26,6,58,A
5,9,66,B
7,13,99,C
14,14,80,C
6,4,83,B
2,7,98,B
8,13,53,C
15,1,50,A
12,8,81,B
29,1,95,A
18,11,9,B
1,13,6,C
5,3,52,B
6,7,31,B
21,5,33,A
8,9,18,B
17,5,79,A
20,13,41,B
22,9,49,A
24,6,7,A
25,9,23,A
5,5,90,B
23,6,90,A
6,13,55,C
23,3,74,A
4,14,73,C
4,5,63,B
21,11,24,B
2,1,41,B
21,12,64,B
17,5,64,A
29,9,64,A
15,5,6,A
5,13,90,C
14,12,46,C
28,11,8,B
16,13,20,B
26,3,15,A
27,9,39,A
28,12,58,B
17,10,38,B
5,2,77,B
29,6,26,A
1,9,51,B
15,3,62,A
12,6,40,B
20,11,42,B
8,10,88,C
1,5,25,B
6,11,11,C
12,8,82,B
4,10,60,C
29,9,44,A
6,11,74,C
4,1,73,B
19,2,50,A
14,3,18,B
19,11,82,B
26,2,31,A
19,7,10,A
19,9,28,A
25,7,85,A
21,11,55,B
4,10,25,C
7,2,89,B
5,8,63,B
11,6,1,A
8,8,93,B
22,11,30,B
24,3,52,A
5,7,87,B
20,9,41,A
1,8,41,B
20,9,7,A
22,14,92,B
6,7,77,B
20,7,75,A
8,11,20,C
18,3,77,A
15,14,16,B
17,2,79,A
7,10,79,C
2,13,68,C
6,10,12,C
15,1,7,A
23,6,44,A
18,3,8,A
5,12,6,C
7,12,66,C
23,2,5,A
26,9,64,A
26,7,3,A
22,4,92,A
1,11,69,C
10,14,9,C
16,14,80,B
7,10,7,C
29,1,58,A
7,12,59,C
5,13,10,C
4,12,12,C
13,11,11,C
19,10,24,B
12,5,43,B
3,12,71,C
17,12,18,B
17,5,26,A
14,12,32,C
16,1,8,A
23,13,19,B
25,7,15,A
14,1,83,B
8,2,73,B
13,14,76,C
2,1,81,B
13,10,19,C
21,9,80,A
5,13,33,C
9,11,3,C
15,11,68,B
25,9,63,A
12,10,79,C
11,14,65,C
6,2,58,B
16,1,46,A
20,9,94,A
19,4,57,A
4,6,78,B
20,14,39,B
28,13,2,C
21,7,30,A
7,13,61,C
5,10,20,C
28,6,38,A
6,13,49,C
21,10,69,B
24,12,43,B
28,7,19,A
4,10,59,C
4,14,99,C
13,6,38,B
4,11,96,C
10,2,14,B
7,9,90,B
21,1,17,A
25,3,91,A
12,12,38,C
2,7,39,B
10,10,73,C
5,12,20,C
12,9,74,B
27,6,67,A
21,4,24,A
13,11,34,C
8,13,69,C
7,13,38,C
18,10,1,C
23,6,19,A
4,7,50,B
11,11,18,C
7,10,42,C
5,1,78,B
21,14,55,B
22,2,4,A
29,9,10,A
1,9,70,B
21,8,99,A
24,9,49,A
20,9,90,A
11,13,46,C
24,12,97,B
4,12,34,C
11,11,25,C
13,5,12,B
10,9,43,B
3,8,4,A
23,12,1,C
16,8,34,A
10,11,18,C
20,4,47,A
7,4,48,B
20,7,31,A
28,5,31,A
7,13,66,C
29,5,86,A
23,3,79,A
23,3,92,A
1,1,36,B
15,1,14,A
6,4,7,B
10,2,93,B
23,8,5,A
28,3,13,A
5,7,52,B
3,2,64,B
29,2,10,A
2,4,49,B
13,10,21,C
19,10,34,B
28,13,25,B
11,13,87,C
2,11,22,C
25,7,37,A
9,12,48,C
11,13,17,C
29,10,74,B
11,14,34,C
27,1,21,A
8,13,2,C
29,1,6,A
14,14,28,C
29,10,89,B
2,5,37,B
