length,width,height,label
7,7,49,B
20,13,75,B
29,2,81,A
15,6,39,A
11,9,71,B
8,4,30,B
29,9,21,A
21,2,1,A
7,2,89,B
26,9,32,A
19,12,8,B
23,7,69,A
11,7,30,B
11,1,8,B
24,13,19,B
21,11,59,B
4,6,55,B
8,13,30,C
24,7,79,A
3,11,36,C
22,14,55,B
21,6,44,A
2,6,27,B
24,2,77,A
12,6,78,B
6,4,54,B
2,9,48,B
28,12,30,B
21,1,39,A
1,13,13,C
12,8,16,B
26,5,44,A
22,1,71,A
29,4,27,A
12,1,45,B
25,6,35,A
17,2,79,A
27,5,28,A
27,7,99,A
10,2,7,B
28,6,62,A
28,6,51,A
16,5,46,A
15,5,20,A
15,14,96,B
19,3,38,A
12,10,61,C
23,10,32,B
20,11,26,B
25,12,58,B
3,2,39,B
5,7,20,B
19,1,82,A
7,6,50,B
21,6,79,A
9,3,52,B
7,2,86,B
18,12,22,B
4,2,53,B
25,14,85,B
28,13,66,B
14,9,43,B
18,11,82,B
26,5,23,A
9,7,77,B
26,12,64,B
21,5,9,A
2,7,7,B
20,13,41,B
28,4,54,A
15,8,65,A
28,13,2,C
7,11,4,C
12,14,78,C
29,10,32,B
8,13,2,C
15,11,64,B
3,10,14,C
14,7,20,B
17,10,89,B
4,5,49,B
18,11,8,B
8,6,92,B
4,5,63,B
2,7,46,B
6,12,21,C
22,2,87,A
10,5,32,B
4,10,8,C
22,3,95,A
29,9,16,A
18,13,40,B
26,6,27,A
12,13,18,C
2,10,35,C
10,3,52,B
4,7,15,B
14,4,63,B
16,14,53,B
15,3,91,A
8,8,81,B
14,13,66,C
23,4,31,A
28,11,61,B
25,1,64,A
8,6,98,B
21,10,34,B
16,11,55,B
13,11,59,C
18,1,3,A
15,5,17,A
21,7,78,A
24,6,78,A
26,14,46,B
25,2,38,A
28,11,35,B
28,4,1,A
28,11,29,B
13,2,4,A
9,11,61,C
29,1,97,A
15,3,17,A
13,3,28,B
1,12,50,C
25,7,90,A
7,1,8,B
9,9,34,B
24,11,59,B
1,6,18,B
12,4,95,B
8,3,59,B
24,3,27,A
11,2,16,B
19,2,10,A
17,14,76,B
8,12,22,C
3,13,16,C
3,10,12,C
1,5,75,B
27,9,84,A
5,2,51,B
10,2,1,A
7,12,27,C
26,6,67,A
9,13,12,C
28,10,30,B
7,2,9,B
9,12,53,C
8,4,61,B
12,6,54,B
2,5,37,B
1,1,65,B
16,6,42,A
23,1,49,A
23,3,4,A
24,10,64,B
5,5,79,B
3,14,51,C
12,10,91,C
8,13,72,C
22,5,60,A
27,13,87,B
3,10,79,C
1,6,91,B
3,12,31,C
5,10,72,C
15,8,94,A
14,5,58,B
3,14,82,C
1,11,4,C
5,1,22,B
26,5,3,A
23,3,79,A
14,4,99,B
7,13,47,C
27,8,38,A
9,7,33,B
15,11,78,B
15,5,48,A
26,2,65,A
10,6,26,B
28,11,8,B
13,6,50,B
19,10,80,B
7,10,38,C
17,14,10,B
20,11,42,B
29,6,37,A
4,14,26,C
5,9,92,B
