length,width,height,label
7,6,55,B
20,12,16,B
29,1,75,B
15,5,88,B
11,8,55,B
8,14,16,C
29,3,73,B
21,8,91,B
7,1,81,B
26,1,17,B
19,8,44,B
23,11,95,B
11,6,77,B
11,6,55,B
24,0,79,B
21,12,49,B
4,10,57,C
8,5,17,B
24,12,79,B
3,6,80,B
22,10,6,B
21,13,75,B
2,5,97,B
24,5,9,B
12,1,68,B
6,5,84,B
2,3,2,A
28,8,82,B
21,14,43,B
1,11,98,C
12,0,69,C
26,12,13,B
22,7,3,C
29,4,17,B
12,0,92,C
25,3,98,B
17,0,51,B
27,5,37,B
27,1,79,B
10,14,19,C
28,4,87,B
28,6,98,B
16,1,43,B
15,5,50,B
15,5,18,B
19,4,67,B
12,4,96,B
23,13,65,B
20,2,12,B
25,14,61,B
3,9,60,B
5,14,29,C
19,9,97,B
7,10,29,C
21,11,50,B
9,1,87,B
7,6,47,B
18,0,32,B
4,5,73,B
25,5,81,B
28,2,18,B
14,1,70,B
18,11,56,B
26,1,18,B
9,13,87,C
26,12,78,B
21,8,40,B
2,10,41,C
20,4,86,B
28,6,51,B
15,11,3,C
28,4,3,C
7,6,4,A
12,12,40,C
29,3,86,B
8,7,60,B
15,12,74,B
3,10,54,C
14,13,74,C
17,9,12,B
4,12,13,C
18,10,59,B
8,9,71,B
4,6,24,B
2,9,81,B
6,14,43,C
22,4,81,B
10,10,9,C
4,5,70,B
22,4,49,B
29,6,43,B
18,11,13,B
26,1,14,B
12,4,15,B
2,14,1,C
10,9,29,B
4,14,29,C
14,2,81,B
16,8,30,B
15,12,76,B
8,5,19,B
14,12,48,C
23,9,34,B
28,2,22,B
25,6,96,B
8,3,98,B
21,13,99,B
16,2,60,B
13,7,83,B
18,12,54,B
15,3,66,B
21,10,7,B
24,0,39,B
26,5,58,B
25,9,31,B
28,10,92,B
28,10,6,B
28,0,1,C
13,4,84,B
9,6,5,B
29,14,91,B
15,5,35,B
13,13,31,C
1,1,44,B
25,10,41,B
7,3,52,B
9,10,8,C
24,14,74,B
1,1,86,B
12,10,74,C
8,0,48,C
24,14,1,C
11,2,66,B
19,2,10,B
17,14,49,B
8,11,34,C
3,6,14,B
3,0,74,C
1,8,30,B
27,10,91,B
5,5,61,B
10,3,27,B
7,2,95,B
26,14,24,B
9,2,83,B
28,1,91,B
7,1,24,B
9,13,74,C
8,11,82,C
12,12,91,C
1,4,58,B
16,8,68,B
23,1,73,B
23,1,41,B
24,11,33,B
5,5,99,B
3,12,65,C
12,14,17,C
8,9,76,B
22,1,4,C
27,11,19,B
3,3,65,B
1,5,74,B
3,4,61,B
5,0,93,C
15,14,95,B
14,5,31,B
3,0,57,C
1,2,49,B
5,9,37,B
26,4,54,B
23,13,27,B
14,9,73,B
7,12,85,C
27,4,80,B
9,12,21,C
15,9,42,B
15,5,82,B
26,14,80,B
10,11,87,C
28,9,35,B
13,7,95,B
19,4,51,B
7,13,35,C
17,14,27,B
20,10,77,B
29,0,57,B
4,4,35,B
5,2,69,B
23,3,8,B
7,14,20,C
13,14,63,C
15,12,75,B
11,7,60,B
29,6,93,B
4,10,94,C
13,4,39,B
7,1,55,B
27,5,3,C
19,10,30,B
22,5,26,B
28,9,57,B
2,9,24,B
10,13,68,C
13,10,69,C
25,5,4,C
21,13,90,B
6,8,7,B
28,10,8,B
28,7,14,B
12,7,99,B
12,0,6,C
20,4,95,B
11,6,71,B
26,5,14,B
23,4,36,B
28,7,82,B
25,2,38,B
7,5,5,B
1,14,82,C
1,4,56,B
25,7,91,B
27,3,80,B
25,7,18,B
20,9,62,B
13,13,30,C
9,14,74,C
3,1,78,B
7,8,9,B
6,12,86,C
8,8,66,B
27,14,61,B
9,13,2,C
5,9,17,B
1,9,24,B
19,12,19,B
10,5,57,B
12,3,92,B
24,3,85,B
15,12,49,B
27,5,78,B
22,4,9,B
24,5,20,B
9,6,28,B
20,6,95,B
17,8,9,B
17,7,12,B
26,12,46,B
20,5,22,B
12,11,49,C
7,5,86,B
2,14,94,C
3,13,3,C
17,4,66,B
5,0,84,C
17,8,52,B
24,8,1,C
17,8,67,B
27,14,64,B
17,10,78,B
2,7,56,B
2,12,96,C
28,9,69,B
22,12,6,B
23,2,18,B
5,0,43,C
1,10,62,C
1,11,64,C
19,11,38,B
2,7,82,B
21,6,25,B
12,12,43,C
26,4,11,B
6,9,21,B
23,6,76,B
4,9,91,B
23,3,13,B
11,8,85,B
24,10,29,B
27,9,43,B
17,13,83,B
6,1,90,B
24,8,37,B
5,8,58,B
20,4,41,B
2,10,51,C
6,0,62,C
22,6,60,B
11,9,33,B
16,9,38,B
16,3,40,B
1,8,36,B
9,5,64,B
28,12,78,B
27,2,31,B
6,5,7,B
16,12,96,B
29,9,17,B
3,5,44,B
20,4,92,B
28,1,95,B
27,9,32,B
4,9,4,A
19,1,81,B
26,6,73,B
3,1,35,B
19,11,96,B
20,5,22,B
7,4,39,B
20,3,4,C
9,6,33,B
1,7,23,B
8,3,16,B
7,0,94,C
18,0,70,B
8,0,80,C
1,10,91,C
11,0,21,C
28,4,14,B
25,3,14,B
25,12,24,B
18,13,52,B
23,8,20,B
10,14,65,C
3,2,90,B
7,13,31,C
28,6,20,B
16,10,67,B
26,7,43,B
16,5,82,B
25,11,65,B
20,12,89,B
28,9,97,B
17,12,13,B
2,0,14,C
1,7,19,B
16,14,33,B
12,9,35,B
5,2,82,B
5,7,8,B
27,11,70,B
23,3,29,B
9,7,76,B
9,10,90,C
3,0,62,C
19,2,34,B
16,5,12,B
16,14,78,B
3,14,45,C
20,8,55,B
24,1,8,B
22,10,86,B
24,0,35,B
1,14,2,C
24,9,97,B
20,2,18,B
11,3,27,B
17,10,22,B
8,4,6,B
4,2,75,B
6,12,13,C
8,9,45,B
20,10,14,B
3,1,66,B
16,1,14,B
