# {"t_start": 1657214078.0815518, "env_id": null} 
r,l,t
0,1,2.016533
0,1,2.017543
0,1,2.019491
0,1,2.020489
0,1,2.022491
0,1,2.023487
0,1,2.024488
0,1,2.026486
0,1,2.027487
0,1,2.028489
0,1,2.030488
0,1,2.031485
0,1,2.033488
0,1,2.034489
0,1,2.036491
0,1,2.037544
0,1,2.038543
0,1,2.040491
0,1,2.041488
0,1,2.042534
0,1,2.044491
0,1,2.045489
0,1,2.047491
0,1,2.048491
0,1,2.049543
0,1,2.051492
0,1,2.052493
0,1,2.053544
0,1,2.055487
0,1,2.056487
0,1,2.05753
0,1,2.059484
0,1,2.060543
0,1,2.061488
0,1,2.063487
0,1,2.064488
0,1,2.066485
0,1,2.067486
0,1,2.069488
0,1,2.070555
1,1,2.071544
1,1,2.072488
0,1,2.074486
0,1,2.075489
0,1,2.077492
0,1,2.08167
0,1,2.083646
0,1,2.084677
1,1,2.086666
0,1,2.087666
0,1,2.08862
0,1,2.090697
0,1,2.091663
0,1,2.092679
0,1,2.094621
0,1,2.095685
0,1,2.096666
0,1,2.098623
1,1,2.099675
0,1,2.10062
0,1,2.102623
0,1,2.10368
0,1,2.10563
1,1,2.106681
0,1,2.107672
0,1,2.109624
0,1,2.110676
0,1,2.111629
0,1,2.113621
0,1,2.114677
1,1,2.116624
0,1,2.117619
0,1,2.118674
0,1,2.120623
0,1,2.121618
0,1,2.122624
0,1,2.123673
0,1,2.125624
0,1,2.12662
0,1,2.127844
0,1,2.129618
0,1,2.13062
0,1,2.131665
0,1,2.133623
0,1,2.134619
0,1,2.13623
0,1,2.137727
0,1,2.138632
0,1,2.140631
0,1,2.14162
0,1,2.143627
0,1,2.145623
0,1,2.146625
0,1,2.147675
0,1,2.148677
1,1,2.150631
0,1,2.151822
0,1,2.153665
0,1,2.15462
0,1,2.16871
0,1,2.170537
1,1,2.171497
0,1,2.172868
0,1,2.174498
0,1,2.175536
0,1,2.176537
0,1,2.178498
0,1,2.17996
0,1,2.180539
0,1,2.18249
0,1,2.183547
0,1,2.184561
1,1,2.186495
0,1,2.187759
0,1,2.189552
0,1,2.1905
0,1,2.1925
0,1,2.194499
0,1,2.195546
0,1,2.197537
0,1,2.198498
0,1,2.199547
0,1,2.201497
0,1,2.202548
0,1,2.203544
0,1,2.20562
0,1,2.206547
0,1,2.208493
0,1,2.209546
0,1,2.211491
0,1,2.212495
0,1,2.213546
0,1,2.215495
0,1,2.216489
1,1,2.217551
0,1,2.219498
0,1,2.220493
0,1,2.221489
0,1,2.223495
1,1,2.224648
0,1,2.225537
0,1,2.227497
0,1,2.228551
0,1,2.229546
0,1,2.231494
0,1,2.232508
0,1,2.23355
1,1,2.235495
0,1,2.236546
0,1,2.238537
0,1,2.240495
0,1,2.241547
0,1,2.243499
1,1,2.244492
0,1,2.245499
0,1,2.247494
0,1,2.248536
0,1,2.24954
0,1,2.251496
1,1,2.252546
0,1,2.254515
