# {"t_start": 1657225317.2379465, "env_id": null} 
r,l,t
0,1,2.836355
0,1,2.839369
0,1,2.841363
0,1,2.843354
0,1,2.845361
0,1,2.847356
0,1,2.850411
0,1,2.852411
0,1,2.854358
0,1,2.85641
0,1,2.858406
0,1,2.860413
0,1,2.862363
1,1,2.865413
1,1,2.867445
0,1,2.869463
1,1,2.8714
0,1,2.873426
1,1,2.875422
1,1,2.877421
0,1,2.880412
1,1,2.882368
0,1,2.884422
0,1,2.886422
0,1,2.889354
0,1,2.891398
0,1,2.893363
0,1,2.895355
1,1,2.897407
0,1,2.900419
0,1,2.902361
0,1,2.904361
0,1,3.158738
0,1,3.159735
1,1,3.16211
0,1,3.162742
0,1,3.164738
0,1,3.165741
0,1,3.16797
0,1,3.169741
0,1,3.170936
0,1,3.172739
0,1,3.174805
0,1,3.175748
0,1,3.177742
0,1,3.179739
0,1,3.18096
0,1,3.182741
0,1,3.183749
0,1,3.185739
0,1,3.186789
0,1,3.187738
1,1,3.189763
0,1,3.190784
0,1,3.192744
0,1,3.193797
0,1,3.195744
0,1,3.196788
0,1,3.19874
0,1,3.199754
1,1,3.200751
0,1,3.20274
0,1,3.203752
0,1,3.205753
0,1,3.270747
0,1,3.27274
0,1,3.273739
0,1,3.275742
1,1,3.278152
0,1,3.279489
0,1,3.280913
0,1,3.282878
0,1,3.284913
0,1,3.286741
0,1,3.288849
0,1,3.29074
0,1,3.292085
0,1,3.293749
0,1,3.29474
0,1,3.296738
0,1,3.297782
0,1,3.299748
0,1,3.300755
0,1,3.302786
1,1,3.304751
0,1,3.306098
0,1,3.307744
0,1,3.308786
0,1,3.310745
0,1,3.31179
0,1,3.31374
0,1,3.314744
0,1,3.316742
0,1,3.317741
0,1,3.31974
0,1,3.320785
0,1,3.382776
0,1,3.383739
0,1,3.385179
1,1,3.385734
0,1,3.386738
0,1,3.387815
0,1,3.388736
0,1,3.388736
1,1,3.389736
0,1,3.390738
1,1,3.391741
0,1,3.392969
0,1,3.393781
0,1,3.394736
0,1,3.395738
1,1,3.395738
0,1,3.396774
0,1,3.397736
0,1,3.398739
0,1,3.399735
0,1,3.400739
0,1,3.401023
0,1,3.401777
1,1,3.402774
0,1,3.403777
0,1,3.404756
0,1,3.405738
0,1,3.405738
0,1,3.407363
1,1,3.407775
0,1,3.408775
0,1,3.40974
0,1,3.463743
0,1,3.464753
0,1,3.465747
