# {"t_start": 1658239102.0322807, "env_id": null} 
r,l,t
0,2,0.425997
-1,3,0.427997
-1,1,0.428996
-1,1,0.428996
0,4,0.431997
1,3,0.433996
-1,1,0.435005
3,5,0.437997
-1,1,0.438998
2,4,0.440998
1,1,0.442003
-1,1,0.443026
2,2,0.443997
-1,1,0.445013
0,2,0.446002
1,1,0.446002
0,2,0.446997
0,2,0.447998
0,2,0.448996
-1,1,0.449997
2,2,0.450997
-1,1,0.452
1,1,0.452999
1,1,0.452999
1,1,0.453997
-1,3,0.456007
0,2,0.457033
0,6,0.459996
-1,1,0.459996
-1,7,0.464175
1,3,0.465171
1,1,0.466174
0,2,0.467181
0,2,0.468202
-1,1,0.468202
-1,1,0.469199
2,2,0.470173
0,2,0.471202
0,2,0.472172
-1,5,0.474172
-1,1,0.475196
0,2,0.476175
0,2,0.477192
1,1,0.477192
-1,1,0.478207
0,2,0.479196
-1,1,0.479196
0,2,0.480189
1,3,0.482179
2,2,0.483173
0,2,0.484172
1,5,0.486199
-1,3,0.488181
2,2,0.488181
1,5,0.491173
1,1,0.491173
-1,1,0.492201
2,4,0.494193
0,4,0.496174
1,1,0.496174
0,2,0.498199
1,3,0.500181
-1,1,0.500181
1,1,0.501172
2,4,0.503173
-1,1,0.503173
1,3,0.505205
-1,1,0.505205
-1,1,0.506203
-1,1,0.506203
-1,1,0.507212
2,2,0.508175
2,2,0.509172
0,2,0.510174
2,2,0.510174
0,2,0.511173
2,2,0.512173
1,1,0.513173
0,2,0.514172
2,2,0.515172
-1,1,0.515172
2,2,0.516172
-1,1,0.517174
1,1,0.518171
2,4,0.520173
-1,1,0.520173
1,3,0.522174
-1,1,0.522174
4,4,0.524171
2,2,0.525173
1,1,0.525173
2,2,0.526173
-1,5,0.529199
0,2,0.530172
1,3,0.531172
-1,1,0.532174
-1,1,0.532174
0,4,0.534174
2,2,0.535181
-1,1,0.541173
0,2,0.542171
1,1,0.542171
0,2,0.543171
-1,7,0.547173
-1,1,0.547173
0,2,0.548172
-1,1,0.549171
-1,1,0.549171
-1,1,0.550171
1,3,0.551172
0,4,0.553173
0,2,0.554171
0,4,0.556178
1,1,0.557184
2,2,0.557534
-1,1,0.55856
-1,5,0.560543
-1,1,0.560543
2,2,0.561545
0,2,0.562771
0,2,0.563779
2,4,0.565781
0,2,0.567795
1,1,0.567795
-1,1,0.56878
0,2,0.569782
0,6,0.57178
-1,1,0.57278
2,2,0.573779
-1,1,0.574779
0,4,0.57678
2,2,0.57678
-1,7,0.580779
-1,1,0.580779
-1,1,0.581781
1,1,0.582602
2,2,0.582602
-1,1,0.583612
1,1,0.584891
1,1,0.585247
1,1,0.585247
1,1,0.586273
-1,3,0.587256
-1,7,0.590255
-1,7,0.59427
-1,1,0.59427
2,2,0.595256
1,1,0.596257
-1,1,0.596257
-1,1,0.597255
0,2,0.598255
1,5,0.600256
1,1,0.600256
-1,1,0.601282
2,6,0.603256
-1,1,0.604256
-1,1,0.604256
1,1,0.605256
1,1,0.605256
0,2,0.606287
1,3,0.608257
-1,1,0.608257
0,2,0.609255
0,2,0.610256
0,6,0.613281
-1,1,0.613281
3,3,0.615285
0,2,0.616266
-1,1,0.616266
2,2,0.617254
0,4,0.619272
-1,1,0.620269
-1,1,0.620269
-1,3,0.622256
0,2,0.623256
3,3,0.625257
1,3,0.626257
3,3,0.628256
-2,6,0.631256
2,2,0.633256
-1,1,0.634258
-1,1,0.635278
0,2,0.636257
0,2,0.637256
1,3,0.638256
-1,1,0.639282
-1,1,0.639282
1,3,0.641255
1,1,0.642255
2,2,0.643294
-1,1,0.644255
-1,1,0.644255
2,2,0.645255
1,3,0.647254
2,2,0.648255
-1,1,0.648255
0,2,0.649255
-1,1,0.650254
1,3,0.652257
1,3,0.657291
-1,1,0.658256
1,1,0.658256
0,2,0.659256
-1,1,0.660255
-1,1,0.660255
-1,1,0.661255
2,6,0.664255
0,6,0.667255
-1,1,0.668257
-1,1,0.668257
-1,1,0.669256
-1,1,0.669256
1,3,0.671258
-1,1,0.671258
0,4,0.67327
2,4,0.675255
-1,1,0.676268
1,1,0.676268
-1,1,0.677257
-1,1,0.678254
0,2,0.679254
-1,1,0.679254
-1,1,0.680259
1,1,0.680259
-1,1,0.681257
4,4,0.683254
0,2,0.684255
2,2,0.685254
0,2,0.686257
0,2,0.687255
-1,1,0.688258
1,3,0.689254
1,1,0.690256
1,1,0.690256
-1,7,0.693907
1,1,0.69492
-1,1,0.69492
0,2,0.695908
-1,1,0.696915
1,1,0.696915
1,3,0.698908
3,3,0.699906
1,1,0.700924
0,2,0.701941
-1,1,0.701941
3,3,0.703963
-1,1,0.703963
0,2,0.704952
0,4,0.706952
1,3,0.707951
0,2,0.709221
0,2,0.710231
2,2,0.711232
-1,1,0.712231
4,4,0.71323
-1,1,0.714231
-1,1,0.71523
1,1,0.71523
-1,1,0.71523
-1,1,0.716231
-1,1,0.716231
2,2,0.717229
-1,1,0.718231
-1,1,0.718231
-1,1,0.71923
-1,7,0.722229
1,1,0.72323
0,2,0.72423
0,2,0.725229
-1,1,0.725229
-1,1,0.726233
2,2,0.727242
0,2,0.728229
-1,1,0.728229
3,3,0.729478
1,1,0.730489
1,1,0.730489
-1,1,0.730489
1,5,0.733195
0,2,0.734196
1,1,0.734196
1,1,0.735224
2,4,0.737195
1,1,0.737195
3,3,0.739194
0,2,0.740208
-1,1,0.741008
-1,1,0.741008
0,2,0.742017
1,1,0.743019
1,3,0.744016
1,1,0.744016
-1,1,0.745017
1,3,0.74602
-3,7,0.750017
0,4,0.752034
1,3,0.753017
-1,1,0.754017
1,1,0.754017
-1,1,0.759021
2,4,0.761027
-1,1,0.761027
1,1,0.762021
1,1,0.762021
-1,1,0.763051
-1,1,0.763051
-1,1,0.764018
-1,1,0.764018
2,2,0.765018
-1,1,0.766018
1,1,0.766018
0,2,0.768021
0,2,0.769017
-1,1,0.770017
-1,3,0.771023
1,1,0.772016
-1,3,0.773015
1,1,0.773015
-1,1,0.774019
2,2,0.775019
0,4,0.777264
-1,1,0.777264
-1,1,0.778269
2,2,0.779282
-1,1,0.779282
1,1,0.78028
1,1,0.78028
-1,1,0.781277
-1,3,0.782281
-1,1,0.783272
0,2,0.784251
1,1,0.784251
-1,1,0.785251
2,4,0.787313
3,3,0.788322
0,4,0.790322
-1,1,0.791322
0,2,0.791322
1,1,0.792322
1,1,0.793322
-1,1,0.793322
-1,1,0.793322
1,1,0.794322
-1,1,0.794322
1,3,0.796353
0,2,0.797348
0,4,0.79933
-1,3,0.800323
-1,1,0.801322
0,2,0.802322
-1,1,0.802322
1,1,0.803322
0,2,0.803322
1,1,0.804322
-1,1,0.805322
2,2,0.805322
1,3,0.807322
-1,1,0.807322
1,1,0.808322
-1,1,0.808322
-1,1,0.809335
-1,1,0.810345
-1,1,0.810345
-1,1,0.811321
-1,1,0.811321
-1,1,0.81234
0,2,0.813322
1,1,0.813322
0,4,0.815327
-1,1,0.816323
0,2,0.817335
1,3,0.818325
1,3,0.820324
1,1,0.820324
1,1,0.82132
4,4,0.823375
0,2,0.823375
-1,1,0.824375
-1,1,0.824375
-1,1,0.825377
1,3,0.826376
-1,1,0.827375
0,2,0.828375
-1,1,0.829289
-1,1,0.829289
0,2,0.830297
-1,1,0.830297
3,3,0.831653
0,2,0.832663
-1,1,0.833664
-1,1,0.834662
1,1,0.834662
2,2,0.835662
1,3,0.836661
-1,1,0.837664
-1,1,0.837664
2,2,0.838661
0,2,0.83969
-1,1,0.840661
-1,1,0.843689
-1,1,0.844688
-1,1,0.844688
-2,4,0.846664
-1,1,0.847664
-1,1,0.848441
-1,1,0.848441
-1,1,0.849454
1,3,0.850459
-1,1,0.851454
2,2,0.85245
2,4,0.85445
-1,1,0.85445
-1,1,0.855451
3,3,0.85645
0,4,0.858483
3,3,0.860451
-1,1,0.860865
1,1,0.860865
1,3,0.862879
-1,1,0.862879
0,2,0.863875
1,1,0.864874
-1,1,0.864874
1,1,0.864874
-1,1,0.865874
-1,3,0.866874
1,1,0.867876
-1,1,0.867876
-1,7,0.871355
-1,3,0.873391
2,2,0.874407
1,5,0.876363
-1,1,0.877375
1,3,0.878367
1,1,0.879365
-1,1,0.879365
3,3,0.88057
2,2,0.881578
1,3,0.883581
2,2,0.884579
1,1,0.884579
-1,1,0.885578
0,2,0.885578
0,2,0.886579
2,4,0.888607
-1,1,0.889606
1,1,0.889606
-1,1,0.890607
1,1,0.890607
2,2,0.891578
1,1,0.8926
1,1,0.8926
2,2,0.893606
1,3,0.895581
0,2,0.896579
-1,1,0.896579
-1,1,0.897581
0,2,0.89858
-1,1,0.89858
2,4,0.900577
-1,3,0.901579
0,2,0.902605
0,2,0.903615
1,3,0.905627
2,4,0.906624
-3,7,0.910622
-1,1,0.910622
1,1,0.911624
-1,1,0.911624
-1,1,0.912473
1,1,0.912473
-1,1,0.913477
2,4,0.914904
2,2,0.915925
3,3,0.917914
1,1,0.917914
1,1,0.918945
-1,1,0.918945
3,3,0.920913
0,4,0.922914
1,1,0.922914
-1,1,0.922914
-1,1,0.923913
1,5,0.92594
0,4,0.927915
-1,1,0.928913
1,1,0.928913
-1,1,0.929914
1,3,0.930913
-1,7,0.933913
-1,1,0.934941
2,6,0.936913
-1,1,0.937913
-1,1,0.937913
1,1,0.93894
-1,1,0.93894
0,4,0.940969
2,2,0.941976
-2,6,0.945006
1,1,0.947978
1,1,0.948978
-1,1,0.95
3,3,0.950977
-1,1,0.952013
-1,1,0.952013
0,6,0.954978
-1,1,0.956006
0,2,0.956978
3,3,0.957978
0,2,0.95898
1,1,0.959978
