# {"t_start": 1657922735.2052042, "env_id": null} 
r,l,t
0,1,1.445477
0,1,1.447815
0,1,1.449665
1,1,1.451743
0,1,1.453745
0,1,1.455754
1,1,1.457759
0,1,1.459745
0,1,1.46169
0,1,1.463697
0,1,1.465832
1,1,1.468034
0,1,1.4708
0,1,1.472796
0,1,1.474792
0,1,1.475828
0,1,1.477855
0,1,1.480565
1,1,1.481549
0,1,1.48362
0,1,1.485491
0,1,1.488549
0,1,1.490453
0,1,1.492352
0,1,1.493361
1,1,1.495363
1,1,1.497447
0,1,1.499955
0,1,1.501951
0,1,1.504002
0,1,1.506009
0,1,1.507952
0,1,1.510192
0,1,1.51224
0,1,1.513515
0,1,1.515546
0,1,1.517546
0,1,1.520051
1,1,1.522057
0,1,1.524054
0,1,1.526107
1,1,1.52806
0,1,1.530549
0,1,1.532659
0,1,1.535044
0,1,1.537096
0,1,1.539093
0,1,1.541104
0,1,1.543093
0,1,1.5451
0,1,1.547094
1,1,1.549678
0,1,1.552043
1,1,1.554059
1,1,1.556059
0,1,1.558044
0,1,1.560631
0,1,1.562116
1,1,1.564097
0,1,1.567044
0,1,1.569001
1,1,1.571205
0,1,1.572953
0,1,1.57495
1,1,1.576938
0,1,1.577999
1,1,1.580436
0,1,1.582931
0,1,1.584941
1,1,1.586979
0,1,1.588989
1,1,1.590934
0,1,1.592939
1,1,1.593999
1,1,1.595999
0,1,1.597998
0,1,1.600572
0,1,1.602998
1,1,1.604996
1,1,1.607001
0,1,1.609066
0,1,1.611433
0,1,1.61293
0,1,1.615068
0,1,1.617722
0,1,1.620548
0,1,1.622135
0,1,1.624137
1,1,1.626084
0,1,1.628071
1,1,1.630109
1,1,1.632122
0,1,1.634127
0,1,1.636297
0,1,1.638072
0,1,1.640486
1,1,1.642135
0,1,1.64414
0,1,1.646119
0,1,1.66399
0,1,1.666201
0,1,1.669024
1,1,1.671098
0,1,1.674044
0,1,1.676064
0,1,1.679101
0,1,1.681175
0,1,1.684124
1,1,1.686124
0,1,1.689038
0,1,1.691023
0,1,1.693974
0,1,1.695984
1,1,1.698542
0,1,1.701099
0,1,1.703329
0,1,1.706098
1,1,1.709009
0,1,1.712235
0,1,1.714978
0,1,1.718051
0,1,1.722008
0,1,1.725009
0,1,1.727056
0,1,1.729009
0,1,1.731
0,1,1.734018
0,1,1.736724
0,1,1.739001
1,1,1.742008
0,1,1.745002
1,1,1.748001
0,1,1.750692
0,1,1.753267
0,1,1.755281
0,1,1.758279
1,1,1.760984
0,1,1.76299
0,1,1.765044
0,1,1.767984
0,1,1.770992
0,1,1.773031
0,1,1.775051
0,1,1.776998
0,1,1.780216
1,1,1.782984
0,1,1.784985
0,1,1.788044
0,1,1.790033
0,1,1.791993
0,1,1.793995
1,1,1.796553
0,1,1.79962
0,1,1.802987
0,1,1.80499
0,1,1.808164
0,1,1.810374
0,1,1.813161
1,1,1.816413
1,1,1.818102
0,1,1.820636
0,1,1.822654
1,1,1.826649
