# {"t_start": 1657297449.556846, "env_id": null} 
r,l,t
1,5,1.472026
1,3,1.477083
1,2,1.480494
0,1,1.48203
0,2,1.485074
0,1,1.487031
0,1,1.488448
0,4,1.495229
0,3,1.502027
0,3,1.507071
1,2,1.511027
1,3,1.51604
0,2,1.520045
1,2,1.522068
0,1,1.524028
0,1,1.525042
0,3,1.528022
1,1,1.53008
1,3,1.534031
0,6,1.544026
0,1,1.545037
0,1,1.547025
0,3,1.552027
1,1,1.554081
0,2,1.557072
0,5,1.56503
0,1,1.566082
1,1,1.568034
0,1,1.570036
0,3,1.575078
1,4,1.581031
1,2,1.584074
1,1,1.586034
0,2,1.589078
0,2,1.593026
0,2,1.597029
0,1,1.598075
0,1,1.600031
0,3,1.605072
1,1,1.607231
1,3,1.613029
1,1,1.615072
0,3,1.620036
1,2,1.623073
1,2,1.62603
0,1,1.627079
0,1,1.629035
0,1,1.630027
1,1,1.63203
0,2,1.637083
0,2,1.641027
0,2,1.644027
1,2,1.648072
0,5,1.656035
1,3,1.661076
0,1,1.663226
0,2,1.666075
0,2,1.670027
0,1,1.67203
0,1,1.674037
0,2,1.676024
0,6,1.685383
1,1,1.686388
0,2,1.690424
0,1,1.691421
0,2,1.69441
1,1,1.695487
1,1,1.697422
0,2,1.699426
0,4,1.705383
0,1,1.706382
1,2,1.709385
0,1,1.710649
1,1,1.712383
1,2,1.715446
0,2,1.717421
1,1,1.718422
0,1,1.720385
1,4,1.726438
0,1,1.728386
0,4,1.735427
0,2,1.738383
0,1,1.740385
0,2,1.743444
0,3,1.748385
0,1,1.750386
1,3,1.755383
1,3,1.760429
0,1,1.761436
1,1,1.763388
0,3,1.768428
1,3,1.773439
0,2,1.776386
0,1,1.777436
1,2,1.781428
0,2,1.784382
0,2,1.787439
0,1,1.789387
0,1,1.79044
1,1,1.805364
1,4,1.814361
1,6,1.82436
1,4,1.830361
0,1,1.832361
0,1,1.833361
0,1,1.835358
0,1,1.837358
0,1,1.839358
0,1,1.840357
1,1,1.841356
0,1,1.842358
1,1,1.843359
1,1,1.844365
1,2,1.847365
0,2,1.84975
0,1,1.851025
0,2,1.8535
0,2,1.856365
0,3,1.861408
0,1,1.862363
0,1,1.865403
1,1,1.866402
1,2,1.870407
1,1,1.871407
0,2,1.875782
0,5,1.884791
1,1,1.885802
0,1,1.887749
0,1,1.888745
1,2,1.892748
1,1,1.89479
0,4,1.901798
0,3,1.906746
0,1,1.907745
0,1,1.909758
0,2,1.912784
0,1,1.914955
1,6,1.92579
0,1,1.926793
0,1,1.92905
1,5,1.93779
0,2,1.940746
1,1,1.9428
0,3,1.947748
0,1,1.948786
1,1,1.950793
1,5,1.959755
0,2,1.96275
0,1,1.964792
1,1,1.9658
0,1,1.967749
0,3,1.972802
1,2,1.975744
0,2,1.978782
1,4,1.986699
1,1,1.987556
0,2,1.990553
1,6,2.001552
1,1,2.0025
1,1,2.004504
1,2,2.008559
0,1,2.010545
0,2,2.014505
0,1,2.016498
0,1,2.017559
0,5,2.026497
0,1,2.028497
1,3,2.033495
0,1,2.034498
0,3,2.0395
0,3,2.045496
1,1,2.046497
1,1,2.047496
1,1,2.048504
1,5,2.056504
0,3,2.061504
1,2,2.064499
0,1,2.066503
0,1,2.067545
0,2,2.071545
0,1,2.072931
0,2,2.076503
1,1,2.077552
0,1,2.079508
0,4,2.087547
1,1,2.088557
1,2,2.091557
0,1,2.093504
0,1,2.095507
1,4,2.102504
0,9,2.121545
1,1,2.123509
1,2,2.127551
1,1,2.129549
0,4,2.1365
1,1,2.138546
0,2,2.1425
1,1,2.143502
1,1,2.145715
0,1,2.156544
0,1,2.159591
0,4,2.16654
0,3,2.172581
0,5,2.180578
0,1,2.182541
1,1,2.184617
1,1,2.186544
1,1,2.188591
0,2,2.192591
1,1,2.19354
0,2,2.19754
1,1,2.19954
0,2,2.20359
0,3,2.208543
1,1,2.210587
1,2,2.213596
0,1,2.215582
1,2,2.219541
0,1,2.221542
0,1,2.223847
1,1,2.22458
0,2,2.228819
1,2,2.232537
0,3,2.237536
1,1,2.239539
1,1,2.241722
0,2,2.244541
0,1,2.246537
0,1,2.248729
1,1,2.251538
0,2,2.255538
1,1,2.256583
0,2,2.260545
0,5,2.269584
0,1,2.270548
1,5,2.279543
0,1,2.281566
0,1,2.283567
1,1,2.284578
0,1,2.286565
1,2,2.290576
1,5,2.299524
1,1,2.301565
0,4,2.308521
1,1,2.309752
0,1,2.311568
1,2,2.314572
0,2,2.318563
0,6,2.329573
1,6,2.339525
1,4,2.346526
0,1,2.348522
0,4,2.355577
1,6,2.367527
0,2,2.371566
0,3,2.375568
1,2,2.379566
0,5,2.38772
0,2,2.391568
1,3,2.39657
0,3,2.401527
1,1,2.402576
0,1,2.404519
1,2,2.408576
0,2,2.412954
1,3,2.41852
1,1,2.420554
1,2,2.424565
0,4,2.431523
1,1,2.43353
0,3,2.439519
1,3,2.446831
0,2,2.451575
0,1,2.453518
0,1,2.455569
0,1,2.457573
1,1,2.459576
0,1,2.46152
0,1,2.463533
1,1,2.465527
1,1,2.467525
0,1,2.469526
1,1,2.471528
0,1,2.472519
0,1,2.474529
1,1,2.475531
0,2,2.479517
0,2,2.482918
0,1,2.483903
0,1,2.4859
0,5,2.495067
0,1,2.496904
0,2,2.499908
1,1,2.502857
0,2,2.505856
0,1,2.507857
0,2,2.510855
0,2,2.513855
0,1,2.514855
0,3,2.525855
0,1,2.526863
1,1,2.528859
1,1,2.530904
0,1,2.532859
1,2,2.535906
0,1,2.53786
1,2,2.541674
0,1,2.542865
1,1,2.544859
0,4,2.552859
1,3,2.557905
1,1,2.558917
0,4,2.566874
1,1,2.569859
0,1,2.571914
1,1,2.573905
0,1,2.574858
0,1,2.576861
1,2,2.580585
1,1,2.581629
1,1,2.5836
0,1,2.58575
0,1,2.5876
1,1,2.589599
1,7,2.602609
0,1,2.604602
0,1,2.605602
1,1,2.607646
1,1,2.608654
0,2,2.612608
1,2,2.61761
0,3,2.622648
0,1,2.623634
1,1,2.625605
0,1,2.626646
0,1,2.628817
0,2,2.631603
0,2,2.634648
0,1,2.636603
0,1,2.638645
1,1,2.639602
1,1,2.6416
0,3,2.647601
1,1,2.65061
0,1,2.65161
1,1,2.6536
0,2,2.656601
0,1,2.65923
1,1,2.660647
0,1,2.661971
1,1,2.663606
0,4,2.670656
1,1,2.672648
0,1,2.673604
0,2,2.677653
0,1,2.679647
1,1,2.680649
0,2,2.684667
1,4,2.691666
1,2,2.694677
0,4,2.701667
0,2,2.704711
0,1,2.705721
0,1,2.707674
0,2,2.710667
0,1,2.712719
0,1,2.713723
1,1,2.71567
1,1,2.716723
1,1,2.718673
0,1,2.719724
0,2,2.723667
0,1,2.726666
1,1,2.728863
0,3,2.734712
0,1,2.735714
0,1,2.737712
1,1,2.738713
1,1,2.74067
0,1,2.742713
0,2,2.74567
1,2,2.74867
0,1,2.749715
1,1,2.751764
0,1,2.753667
0,1,2.754745
1,1,2.756668
0,2,2.759667
0,2,2.76383
1,7,2.776667
0,1,2.778893
1,1,2.781008
0,1,2.782907
0,2,2.785911
0,1,2.787908
1,1,2.788906
0,1,2.790908
0,1,2.792906
0,3,2.798954
0,2,2.810985
0,1,2.812918
1,1,2.814909
0,1,2.816907
0,1,2.818907
0,1,2.820908
0,3,2.825954
0,1,2.826905
1,1,2.828929
0,2,2.831908
0,1,2.8338
0,1,2.834915
0,9,2.849963
0,4,2.858952
0,2,2.861996
1,1,2.863908
0,3,2.868907
1,1,2.869907
0,1,2.871908
1,1,2.872908
0,1,2.874907
1,1,2.876907
0,1,2.877911
0,4,2.884052
0,1,2.886046
0,1,2.888098
0,1,2.889108
0,2,2.893097
1,3,2.8971
0,1,2.89905
0,2,2.902044
1,2,2.905097
0,2,2.90909
1,2,2.912178
0,1,2.913101
0,1,2.915042
1,2,2.918097
1,4,2.925049
0,3,2.930046
0,1,2.931095
0,2,2.937098
1,1,2.939087
0,1,2.940044
0,1,2.942041
1,2,2.945325
1,1,2.947049
0,1,2.949089
1,2,2.952043
0,2,2.955053
0,3,2.960883
0,1,2.962043
0,1,2.964042
0,1,2.965535
0,1,2.967449
1,2,2.9701
0,1,2.972049
1,1,2.973097
1,1,2.975045
0,1,2.976098
0,1,2.978047
0,1,2.980048
0,5,2.990065
0,1,2.992041
0,1,2.993043
1,2,2.997043
0,4,3.005041
0,5,3.015078
0,1,3.019043
1,1,3.021044
1,8,3.035038
0,1,3.037042
0,3,3.043232
1,3,3.050041
0,2,3.054731
1,1,3.056042
1,1,3.058043
0,3,3.063042
0,1,3.064043
0,2,3.067089
1,1,3.069047
0,1,3.071093
1,1,3.072044
1,1,3.074202
0,1,3.076043
1,1,3.077043
1,1,3.079044
0,1,3.080474
0,2,3.083101
0,1,3.085047
0,1,3.087043
0,3,3.092087
1,2,3.095043
1,2,3.098048
0,5,3.106042
0,2,3.109101
0,1,3.111103
0,2,3.114496
0,1,3.116046
0,3,3.121128
0,2,3.124099
1,1,3.13502
1,1,3.138021
0,2,3.14202
0,1,3.143591
0,3,3.14802
0,3,3.15302
1,3,3.15802
1,1,3.16002
1,1,3.161135
0,1,3.163019
0,2,3.16704
1,1,3.169055
0,1,3.170077
0,3,3.17503
1,1,3.177025
0,1,3.17902
1,1,3.182106
1,4,3.189106
1,2,3.193107
1,7,3.204126
1,1,3.206116
0,2,3.20911
1,1,3.210163
0,2,3.216114
0,2,3.219215
1,2,3.223151
0,2,3.226152
0,1,3.227159
0,3,3.232107
1,1,3.233104
0,2,3.236106
0,1,3.238105
1,2,3.241107
1,1,3.243113
0,2,3.246149
0,1,3.248424
1,1,3.250115
0,1,3.251116
0,2,3.255151
0,1,3.256151
