# {"t_start": 1657928819.7249594, "env_id": null} 
r,l,t
0,2,0.579
-1,7,0.584
-1,1,0.585
-1,1,0.586
-1,1,0.587001
-1,1,0.588
2,4,0.591002
2,2,0.593003
-1,1,0.594
1,1,0.595001
1,1,0.596001
-1,1,0.597001
1,1,0.597001
-1,1,0.598001
1,3,0.601002
2,2,0.602001
0,2,0.604027
2,2,0.606001
-1,1,0.606001
-1,1,0.607
-1,1,0.608
1,1,0.609003
1,5,0.613006
0,2,0.614001
2,2,0.616001
0,2,0.618001
0,2,0.619001
0,2,0.621002
1,1,0.622
1,1,0.623
1,1,0.624001
1,5,0.628002
3,5,0.632001
1,3,0.634001
1,3,0.636001
1,1,0.637001
1,3,0.64
1,3,0.642001
1,1,0.643003
3,3,0.646001
0,2,0.647001
0,2,0.649001
0,4,0.652
-1,1,0.653
0,4,0.656
0,2,0.657
-1,1,0.658
-1,1,0.659
2,6,0.664002
1,1,0.664002
0,4,0.667001
-1,1,0.668001
0,2,0.670001
1,3,0.672038
-1,1,0.673003
1,5,0.677005
0,4,0.680037
-1,1,0.681001
-1,1,0.682002
0,4,0.684924
-1,1,0.68595
-1,1,0.68595
1,3,0.688924
1,1,0.688924
1,5,0.693949
-1,1,0.693949
1,1,0.694952
4,4,0.697924
-1,1,0.698948
0,2,0.700936
1,1,0.701925
1,3,0.70395
1,1,0.704923
-1,1,0.705924
3,3,0.707924
0,2,0.709924
1,3,0.712469
2,2,0.713506
-1,1,0.714469
0,2,0.716386
-1,1,0.717387
2,2,0.718414
0,2,0.720385
-1,5,0.724556
0,2,0.726557
3,3,0.728556
-1,1,0.729592
3,3,0.731592
1,1,0.732594
2,2,0.734592
1,1,0.734592
1,1,0.735595
0,4,0.738641
-1,1,0.73964
1,1,0.740649
1,1,0.741651
1,1,0.742642
-1,1,0.742642
1,3,0.745643
1,3,0.754337
1,1,0.755387
0,2,0.756382
-1,1,0.757348
2,2,0.759354
-1,1,0.760749
0,2,0.76239
0,2,0.763357
1,1,0.764395
0,2,0.766376
1,1,0.767357
-1,1,0.767357
1,1,0.768359
0,2,0.770364
2,2,0.772357
1,1,0.772357
3,3,0.775356
2,2,0.777095
1,1,0.778127
-1,1,0.779104
0,2,0.781106
0,2,0.783106
-1,1,0.784102
0,2,0.785104
3,3,0.788104
1,3,0.790104
-1,1,0.791104
-1,1,0.792112
0,2,0.794142
0,2,0.795925
-1,1,0.795925
1,1,0.796925
-1,1,0.79791
-1,1,0.798896
1,3,0.800906
-1,1,0.801895
1,3,0.803905
1,1,0.804895
1,1,0.804895
-1,1,0.805895
1,1,0.806986
-1,1,0.807957
1,1,0.808959
-1,1,0.809911
-1,1,0.810923
1,1,0.810923
-1,1,0.811923
-1,1,0.812921
0,2,0.814957
-1,1,0.814957
0,2,0.816923
1,1,0.817921
-1,1,0.81892
-1,3,0.82092
3,3,0.823921
0,4,0.82792
0,2,0.828957
1,1,0.829924
-1,1,0.830922
-1,1,0.831921
1,1,0.831921
0,2,0.833922
-1,1,0.834923
-1,1,0.834923
0,2,0.836998
3,3,0.838921
-1,1,0.839957
2,2,0.841595
0,4,0.844606
1,1,0.845643
-1,1,0.846642
3,5,0.850606
0,2,0.85264
-1,1,0.85264
-3,7,0.858603
-1,1,0.859605
1,1,0.859605
-1,1,0.860632
2,2,0.862604
1,3,0.864642
1,3,0.867344
1,1,0.868345
1,1,0.868345
-1,1,0.869382
-1,1,0.870381
1,1,0.871345
-1,1,0.872344
-1,1,0.872344
0,2,0.874343
0,2,0.876382
-1,1,0.876382
2,2,0.87848
-1,1,0.87848
0,2,0.880518
-1,1,0.881488
-1,1,0.882516
2,2,0.883482
0,2,0.885478
0,2,0.88648
1,1,0.887789
1,3,0.893827
-1,1,0.894824
-1,1,0.89581
-1,1,0.896815
0,2,0.898798
-1,1,0.898798
-1,1,0.899826
-1,1,0.900798
-1,1,0.901798
2,2,0.903797
1,3,0.906214
2,2,0.907654
-1,1,0.908648
1,1,0.909644
1,1,0.910648
0,2,0.911682
-1,1,0.912682
1,3,0.915682
0,2,0.916682
-1,1,0.917664
-1,1,0.918645
-1,1,0.919647
1,1,0.919647
0,2,0.921681
-1,1,0.922687
1,3,0.925491
-1,1,0.926457
2,2,0.927465
3,3,0.930452
-1,1,0.931453
2,2,0.932488
-1,1,0.933488
-1,1,0.93449
0,2,0.936488
-1,1,0.936488
-1,1,0.937454
-1,1,0.938489
-1,1,0.939456
2,2,0.941122
-1,1,0.942122
3,3,0.944312
1,1,0.94532
-1,1,0.946322
0,2,0.947357
3,3,0.950322
-1,3,0.952348
0,2,0.954348
-1,1,0.955355
-1,1,0.956322
-1,1,0.956322
-1,1,0.957357
-1,1,0.958323
-1,1,0.959369
-1,1,0.960471
3,3,0.963135
-1,1,0.963135
-1,1,0.964136
1,3,0.967138
-1,1,0.968098
1,1,0.9691
-1,1,0.9701
-1,1,0.9701
1,1,0.971136
1,1,0.9721
-1,1,0.973101
-1,1,0.973101
-1,1,0.97414
-1,1,0.9751
0,4,0.978165
1,3,0.9812
-1,1,0.982202
-1,1,0.983192
-1,1,0.984197
1,1,0.985178
0,2,0.986166
-1,1,0.987189
-1,1,0.988165
3,3,0.990191
-1,1,0.991177
1,1,0.992167
-1,1,0.993196
-1,1,0.994167
3,3,0.996215
2,2,0.998193
0,2,0.999178
1,1,1.00018
1,1,1.001178
-1,1,1.002178
3,3,1.004204
-1,7,1.01017
-1,1,1.011214
2,2,1.012215
-1,1,1.01318
0,6,1.01818
0,2,1.019217
2,2,1.02122
1,1,1.022179
0,2,1.02318
-1,1,1.024219
1,3,1.027179
1,1,1.031179
2,4,1.034215
-1,1,1.035179
-1,1,1.036182
-4,6,1.04119
-1,1,1.042181
0,2,1.043182
2,2,1.045216
-1,1,1.046182
1,3,1.048183
1,3,1.05118
1,3,1.053225
-1,1,1.054181
1,3,1.056219
-1,1,1.057237
-1,1,1.05818
-1,1,1.05818
1,3,1.06118
1,1,1.062181
0,2,1.063216
-1,1,1.064284
-1,1,1.065294
-1,3,1.067316
3,3,1.069294
-1,1,1.07033
0,2,1.072293
-1,3,1.074968
-1,1,1.075939
-1,1,1.075939
-1,1,1.076976
-1,1,1.077938
0,2,1.079939
-1,3,1.081975
-1,1,1.082967
2,2,1.084939
1,1,1.084939
0,6,1.090974
-1,1,1.090974
1,3,1.094939
1,1,1.095939
-1,1,1.095939
-1,7,1.101977
2,2,1.103939
-1,1,1.104947
0,2,1.105939
2,2,1.108939
-1,1,1.108939
3,3,1.111557
2,2,1.113525
2,2,1.115522
0,2,1.117521
1,1,1.117521
-1,1,1.118522
1,1,1.119521
1,1,1.120521
1,1,1.121015
2,2,1.12203
-1,1,1.123023
2,2,1.125025
-1,1,1.126027
-2,6,1.130773
-1,1,1.131736
-1,1,1.131736
-1,1,1.132772
0,2,1.134738
3,3,1.137752
1,3,1.139775
-1,1,1.140736
-1,1,1.141738
-1,1,1.142738
-1,1,1.142738
-1,1,1.143772
0,2,1.145735
0,2,1.146735
1,3,1.149737
-1,1,1.150735
4,4,1.153847
-1,1,1.154847
0,4,1.157826
1,3,1.160836
0,2,1.162837
-1,1,1.162837
1,3,1.165835
-1,1,1.166428
-1,3,1.169027
0,2,1.170028
-1,1,1.171035
1,1,1.172046
0,2,1.173069
1,1,1.174087
2,2,1.176072
0,4,1.179044
-1,1,1.180072
-1,1,1.180072
3,3,1.183045
0,2,1.185045
1,1,1.185045
1,3,1.188123
-1,1,1.188925
-1,7,1.194934
0,2,1.19998
-1,1,1.19998
0,2,1.202011
-1,1,1.202982
1,1,1.20398
-1,1,1.20398
2,4,1.207982
-1,1,1.207982
1,1,1.209007
3,3,1.211981
2,2,1.21298
1,5,1.217016
1,1,1.218007
0,4,1.220986
4,4,1.225009
-1,1,1.225009
0,2,1.227012
-1,1,1.22798
-3,7,1.233979
2,2,1.235006
-1,1,1.236007
-1,1,1.237003
-1,1,1.237981
-1,1,1.237981
-1,1,1.239006
1,3,1.24198
1,1,1.242984
3,5,1.246533
-1,1,1.247497
0,4,1.250532
-1,1,1.251532
-1,1,1.252497
0,6,1.257497
1,1,1.257497
2,2,1.259496
-1,3,1.261533
0,2,1.263496
1,1,1.264498
1,1,1.264498
-1,1,1.265534
0,4,1.26939
2,2,1.270429
-1,1,1.271426
1,1,1.272389
-1,1,1.27339
0,2,1.274391
3,3,1.277407
-1,1,1.278428
-1,1,1.279433
-1,1,1.280391
0,2,1.281427
-1,1,1.282425
0,2,1.284452
1,3,1.28649
1,1,1.287486
0,2,1.28949
-1,1,1.290452
3,3,1.293402
2,2,1.295411
-1,1,1.295411
0,4,1.298412
-1,1,1.299447
-1,1,1.300414
-1,1,1.301411
0,2,1.303412
2,2,1.304447
0,6,1.309448
-1,1,1.310445
2,2,1.312412
0,2,1.313411
1,1,1.314448
1,5,1.318805
2,2,1.319806
0,2,1.321814
1,1,1.322579
-1,5,1.326622
-1,1,1.327617
-1,1,1.328582
0,2,1.32958
1,1,1.330616
-1,1,1.331616
1,1,1.33258
0,2,1.33358
-1,1,1.334618
1,1,1.335618
-1,1,1.336585
0,2,1.337582
1,1,1.338616
1,1,1.339612
-1,1,1.340585
-1,1,1.341582
0,2,1.343582
1,1,1.344579
1,5,1.348474
1,3,1.350482
-1,1,1.351519
0,2,1.353485
1,1,1.354483
1,3,1.356519
2,6,1.361007
-1,1,1.366008
0,4,1.369007
-1,1,1.370034
0,2,1.371662
1,1,1.372671
1,3,1.374671
1,1,1.375671
1,3,1.377701
0,2,1.37967
1,1,1.380671
0,2,1.381671
-1,1,1.382706
1,1,1.383707
-1,1,1.384684
-1,1,1.385672
-1,1,1.386671
-1,1,1.386671
1,1,1.38771
2,2,1.389706
-1,1,1.390671
0,2,1.392669
1,1,1.393671
3,3,1.395706
1,3,1.39867
1,1,1.399671
2,2,1.401243
0,2,1.402289
2,2,1.40451
1,3,1.406545
0,4,1.41051
1,1,1.41051
3,3,1.413508
-1,1,1.414509
2,2,1.415543
1,1,1.416511
0,2,1.417508
-1,5,1.42151
-1,1,1.422546
-1,1,1.423509
-1,1,1.424509
1,1,1.424509
-1,1,1.425756
-1,1,1.426766
0,2,1.427769
2,2,1.429766
-1,1,1.430792
-1,1,1.430792
0,2,1.432765
1,3,1.434792
0,2,1.436767
0,2,1.437766
-1,1,1.438797
0,2,1.440766
2,4,1.444766
0,2,1.445792
-1,1,1.446793
-1,1,1.447807
-1,1,1.448783
-1,1,1.449794
2,4,1.452768
2,2,1.453768
1,3,1.456764
0,2,1.458765
-1,1,1.459765
-1,1,1.460766
1,1,1.460766
-1,1,1.461764
-1,1,1.462768
-1,1,1.463767
-1,1,1.463767
1,3,1.466565
0,2,1.468609
-1,1,1.468609
-1,1,1.46961
-1,1,1.470583
-1,1,1.471574
-1,1,1.471574
1,1,1.472609
0,2,1.474575
2,2,1.476575
0,2,1.477574
1,1,1.478601
0,2,1.480574
