# {"t_start": 1657923080.5282328, "env_id": null} 
r,l,t
0,1,1.58578
0,1,1.587737
0,1,1.588795
1,1,1.590733
0,1,1.591734
0,1,1.592746
0,1,1.59474
0,1,1.596796
0,1,1.598754
0,1,1.600736
0,1,1.602735
0,1,1.60474
1,1,1.606447
1,1,1.608452
1,1,1.610447
1,1,1.612445
0,1,1.614255
0,1,1.615875
0,1,1.617863
0,1,1.619909
0,1,1.621924
0,1,1.624864
0,1,1.626339
0,1,1.627884
0,1,1.629889
0,1,1.631859
0,1,1.633907
0,1,1.635875
0,1,1.637875
0,1,1.639863
0,1,1.641871
0,1,1.642922
0,1,2.00816
0,1,2.0092
0,1,2.011208
0,1,2.013896
0,1,2.015163
0,1,2.017201
0,1,2.020223
0,1,2.02122
0,1,2.023213
0,1,2.026039
1,1,2.027091
1,1,2.029114
0,1,2.031047
0,1,2.033048
0,1,2.034874
0,1,2.036812
0,1,2.038853
1,1,2.040859
0,1,2.042868
0,1,2.043864
0,1,2.045817
0,1,2.048412
0,1,2.049868
0,1,2.051804
0,1,2.05388
0,1,2.056239
1,1,2.05787
0,1,2.059807
0,1,2.061855
1,1,2.064041
1,1,2.065828
1,1,2.067864
1,1,2.157586
0,1,2.159585
0,1,2.161592
1,1,2.163659
1,1,2.166164
0,1,2.169159
0,1,2.171166
1,1,2.173218
1,1,2.175777
0,1,2.176773
0,1,2.178778
1,1,2.180781
1,1,2.182791
1,1,2.185416
0,1,2.186514
0,1,2.188487
1,1,2.190487
0,1,2.192419
0,1,2.194429
0,1,2.196419
0,1,2.198425
0,1,2.201421
1,1,2.203421
0,1,2.205465
0,1,2.207232
0,1,2.209227
0,1,2.21118
1,1,2.213174
0,1,2.215194
0,1,2.217183
0,1,2.219185
0,1,2.221173
0,1,2.298933
0,1,2.301112
0,1,2.302972
0,1,2.304993
0,1,2.30708
0,1,2.308982
0,1,2.31098
1,1,2.312928
1,1,2.315062
0,1,2.317717
0,1,2.319039
0,1,2.321053
0,1,2.323315
0,1,2.325836
0,1,2.327835
1,1,2.328833
0,1,2.330958
1,1,2.332869
0,1,2.335825
0,1,2.337831
1,1,2.339359
0,1,2.340845
0,1,2.34287
0,1,2.344897
1,1,2.346836
0,1,2.348828
1,1,2.349869
0,1,2.351877
0,1,2.353902
0,1,2.355834
0,1,2.357837
0,1,2.359825
0,1,2.438849
0,1,2.440848
0,1,2.44285
0,1,2.44493
0,1,2.446954
0,1,2.448962
0,1,2.451002
0,1,2.453005
1,1,2.455142
0,1,2.458066
0,1,2.459117
1,1,2.461121
0,1,2.46351
0,1,2.465058
0,1,2.467081
0,1,2.46908
0,1,2.471067
0,1,2.473066
1,1,2.475117
0,1,2.478067
0,1,2.480601
0,1,2.483073
1,1,2.485453
0,1,2.487491
1,1,2.489495
0,1,2.49148
0,1,2.49254
0,1,2.494537
0,1,2.496487
0,1,2.499491
1,1,2.501552
0,1,2.503488
0,1,2.586043
0,1,2.588039
0,1,2.590033
0,1,2.591092
0,1,2.593195
1,1,2.595899
0,1,2.598893
0,1,2.601892
0,1,2.604897
0,1,2.608461
0,1,2.610462
0,1,2.611462
0,1,2.614147
0,1,2.615464
1,1,2.617448
0,1,2.619461
0,1,2.621457
0,1,2.623465
1,1,2.624884
0,1,2.626842
1,1,2.628787
0,1,2.630883
0,1,2.633839
0,1,2.635829
1,1,2.637847
0,1,2.639381
1,1,2.640838
0,1,2.642837
0,1,2.645082
0,1,2.646957
0,1,2.648779
0,1,2.65078
1,1,2.730992
1,1,2.733036
0,1,2.734957
1,1,2.736793
0,1,2.738838
0,1,2.740802
0,1,2.742842
1,1,2.744842
1,1,2.746295
1,1,2.748795
0,1,2.749792
1,1,2.751791
0,1,2.753889
0,1,2.755805
0,1,2.757797
1,1,2.759804
0,1,2.760803
0,1,2.762797
1,1,2.765796
1,1,2.767847
0,1,2.769997
0,1,2.77179
0,1,2.773791
0,1,2.7758
1,1,2.777951
1,1,2.78079
1,1,2.782809
0,1,2.784806
1,1,2.787739
0,1,2.789771
0,1,2.791743
0,1,2.794049
1,1,2.88102
1,1,2.884029
0,1,2.886028
0,1,2.888063
0,1,2.890031
0,1,2.892027
0,1,2.893076
0,1,2.895917
1,1,2.897924
0,1,2.900056
0,1,2.901983
1,1,2.903984
0,1,2.906051
0,1,2.907906
1,1,2.909917
0,1,2.911914
0,1,2.914287
1,1,2.916916
0,1,2.918919
0,1,2.92097
1,1,2.922913
1,1,2.924917
0,1,2.926919
0,1,2.928932
0,1,2.930923
0,1,2.932909
0,1,2.935039
0,1,2.937331
1,1,2.939152
0,1,2.940109
0,1,2.942146
0,1,2.944071
1,1,3.027107
0,1,3.028108
1,1,3.030203
1,1,3.032153
0,1,3.034933
0,1,3.036896
1,1,3.037892
1,1,3.039937
0,1,3.04188
0,1,3.04393
0,1,3.045889
0,1,3.047892
1,1,3.048888
0,1,3.05093
1,1,3.052927
