# {"t_start": 1657926441.740436, "env_id": null} 
r,l,t
-1,1,0.651084
1,3,0.655085
-1,1,0.656084
-1,1,0.657091
-1,1,0.658085
-1,1,0.761085
-1,1,0.762087
1,1,0.762087
1,1,0.763085
0,2,0.764085
1,1,0.765085
-1,1,0.81009
0,4,0.814084
-1,1,0.814084
1,1,0.815085
0,2,0.856084
-1,1,0.858085
1,3,0.861084
1,1,0.862086
-1,7,0.915086
0,2,0.965086
0,2,0.967087
-1,1,0.968097
-1,1,0.969096
-1,1,0.970087
3,3,1.021085
1,1,1.022084
-1,1,1.023085
-1,1,1.024088
-1,1,1.027089
1,1,1.070086
0,4,1.075088
1,1,1.076119
0,2,1.115588
-1,1,1.116086
2,2,1.117086
3,3,1.120086
-1,1,1.167086
2,4,1.173086
-1,1,1.175105
1,1,1.1771
0,2,1.233087
-1,1,1.234088
-1,1,1.235087
2,4,1.286087
-1,1,1.287087
1,1,1.288097
1,3,1.291087
0,2,1.333086
1,3,1.336087
-1,1,1.337085
0,2,1.339085
-1,1,1.382086
0,2,1.384086
1,1,1.384086
2,2,1.386086
1,3,1.426103
1,3,1.429085
2,2,1.430085
2,2,1.469086
-1,1,1.470087
-1,1,1.471087
-1,1,1.472086
0,4,1.514084
2,4,1.517089
-1,1,1.518085
0,2,1.562087
-1,1,1.563087
-1,1,1.564087
-1,1,1.565086
-1,1,1.565086
2,2,1.610096
1,3,1.613086
-1,1,1.614086
-1,1,1.614086
-1,1,1.615085
0,2,1.654086
-1,1,1.654086
-3,7,1.700085
0,6,1.741087
1,3,1.745086
0,4,1.778085
2,4,1.781085
2,4,1.815085
0,2,1.817084
1,1,1.817084
1,1,1.818084
1,1,1.855085
1,1,1.856085
2,2,1.859088
1,3,1.861086
0,2,1.904085
1,1,1.905088
-1,1,1.907095
2,2,1.910085
0,2,1.960094
1,1,1.961087
-1,1,1.963084
1,1,1.964086
-1,1,1.965087
-1,1,1.966088
-1,1,1.967085
3,3,2.016094
2,4,2.020087
3,3,2.071085
-1,1,2.073089
-1,1,2.074086
1,3,2.118085
1,3,2.121084
0,2,2.122086
0,6,2.171086
-1,1,2.172087
-1,1,2.173087
0,2,2.216087
-1,1,2.217104
1,1,2.219088
-5,7,2.267086
-1,1,2.268088
-1,1,2.269087
-1,7,2.315089
1,3,2.355087
-1,1,2.355087
0,2,2.359096
-1,1,2.360088
0,2,2.397085
2,4,2.400085
-1,1,2.401086
1,3,2.436085
1,1,2.437085
1,3,2.439085
-1,1,2.440092
1,3,2.475093
1,1,2.476092
2,4,2.514086
1,1,2.515085
1,1,2.516103
0,2,2.518085
0,4,2.566109
1,1,2.567085
2,6,2.617085
2,2,2.618085
0,2,2.620091
2,2,2.659095
0,2,2.662087
-1,1,2.663085
2,2,2.665085
2,2,2.711088
-1,1,2.712087
1,1,2.713087
-1,1,2.715086
1,1,2.716087
-1,1,2.717087
-1,1,2.718085
-1,3,2.762085
2,2,2.764086
0,6,2.806085
1,3,2.810086
0,2,2.849085
-1,1,2.850085
-1,1,2.851085
1,1,2.851085
0,2,2.853086
1,1,2.892089
2,2,2.894085
-1,1,2.895085
-1,5,2.935086
-1,1,2.935086
-1,1,2.936088
-1,1,2.937086
1,1,2.938085
0,2,2.975089
-1,1,2.976088
1,3,2.979085
-1,1,2.979085
1,5,3.016085
-1,1,3.016085
2,2,3.018084
-1,1,3.064087
-1,5,3.068086
-1,3,3.117085
0,2,3.118086
1,3,3.121085
1,1,3.156085
0,2,3.157087
1,1,3.159085
-1,1,3.159085
-1,1,3.160085
-1,1,3.161085
